Year,Scenario,name,M,L,U
2026,TxPPM_PAN-TB,AvtInc,-1.1136933171681371e-4,-1.3109639566842425e-4,-9.272459189700773e-5
2026,TxPPM_PAN-TB,AvtMor,1.8337062793236358e-4,1.0488919804152646e-4,2.5865970808159716e-4
2026,Tx_LA-INJ,AvtInc,1.8013808358279007e-10,1.541355724242236e-10,2.061290343269039e-10
2026,Tx_LA-INJ,AvtMor,1.5062246554041662e-10,1.2955133659479407e-10,1.7285248841319165e-10
2026,Tx_PAN-TB,AvtInc,6.693874508601825e-11,5.7248325142503553e-11,7.661129819147954e-11
2026,Tx_PAN-TB,AvtMor,5.597665045137897e-11,4.809931750269912e-11,6.430173054569444e-11
2026,Vac_BCG,AvtInc,5.758019045276417e-8,4.832669035051583e-8,7.147193654680212e-8
2026,Vac_BCG,AvtMor,1.3794149334818999e-8,1.0728291203646444e-8,1.7203679933858298e-8
2026,Vac_BCG-M72,AvtInc,0,0,0
2026,Vac_BCG-M72,AvtMor,0,0,0
2026,Vac_M72,AvtInc,0,0,0
2026,Vac_M72,AvtMor,0,0,0
2026,Vac_Recurrence,AvtInc,0,0,0
2026,Vac_Recurrence,AvtMor,0,0,0
2027,Baseline,AvtInc,0,0,0
2027,Baseline,AvtMor,0,0,0
2027,CombinePPM_Hi,AvtInc,6.67106583513163e-5,-2.0678781799130023e-5,1.603165917460413e-4
2027,CombinePPM_Hi,AvtMor,0.0013068444316492317,0.0011581682571969363,0.0014838942971819868
2027,Combine_Hi,AvtInc,2.948231312589019e-4,2.2613203320517595e-4,4.103778397922341e-4
2027,Combine_Hi,AvtMor,7.563233558328054e-4,6.164484009737177e-4,8.97207199330228e-4
2027,DxPPM_POC,AvtInc,0.0016034405567506849,0.001224457719669988,0.0022437622528950485
2027,DxPPM_POC,AvtMor,0.004936796078142361,0.004144867685522585,0.005882930241442773
2027,DxPPM_POC_Hi,AvtInc,-5.87798528970357e-6,-8.173882640120873e-5,7.962635170450563e-5
2027,DxPPM_POC_Hi,AvtMor,0.001183907565216127,0.001040285350233878,0.0013017987581008935
2027,DxPPM_TSwab,AvtInc,6.700070639765686e-5,-2.029363993548338e-5,1.613446264917221e-4
2027,DxPPM_TSwab,AvtMor,0.0013068568875993184,0.001158180894333094,0.0014839008256477579
2027,Dx_POC,AvtInc,0.001652948281356282,0.0012745466299492597,0.0022832706828933595
2027,Dx_POC,AvtMor,0.004033297949660679,0.0031996159168011422,0.004758639742852016
2027,Dx_POC_Hi,AvtInc,2.5205459067584833e-4,1.9434778989432642e-4,3.5470091610471574e-4
